iter	Passed	Remaining
0	48	4774
1	50	2451
2	51	1670
3	53	1279
4	56	1070
5	57	908
6	59	790
7	61	702
8	62	633
9	64	578
10	65	532
11	67	494
12	68	461
13	70	433
14	72	408
15	73	386
16	75	367
17	76	350
18	78	334
19	80	320
20	81	306
21	86	305
22	96	321
23	102	324
24	110	330
25	121	344
26	126	341
27	129	331
28	134	330
29	137	319
30	139	310
31	141	299
32	143	290
33	145	281
34	147	273
35	149	265
36	150	256
37	152	248
38	154	240
39	155	233
40	157	226
41	158	219
42	160	212
43	161	205
44	163	199
45	164	193
46	166	187
47	167	181
48	169	176
49	170	170
50	172	165
51	173	160
52	175	155
53	176	150
54	178	145
55	179	141
56	181	137
57	183	132
58	184	128
59	186	124
60	187	120
61	189	116
62	191	112
63	193	108
64	194	104
65	196	101
66	198	97
67	199	93
68	201	90
69	202	86
70	204	83
71	205	80
72	207	76
73	208	73
74	210	70
75	211	66
76	213	63
77	214	60
78	216	57
79	218	54
80	219	51
81	221	48
82	222	45
83	224	42
84	225	39
85	227	37
86	228	34
87	232	31
88	233	28
89	234	26
90	236	23
91	237	20
92	239	18
93	241	15
94	242	12
95	244	10
96	245	7
97	247	5
98	248	2
99	250	0
